Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.31.69.25-94.231.103.172-22-45498-6,94.231.103.172,45498,172.31.69.25,22,6,20/02/2018 08:34:07,888751,11,11,1249,1969,736,0,113.5454545,220.8960677,976,0,179,364.1864907,3620.811678,24.75383994,42321.47619,47851.73578,101609,14,888751,88875.1,49295.73551,140273,14,788197,78819.7,55863.18804,139285,72,0,0,0,0,360,360,12.37691997,12.37691997,0,976,139.9130435,290.633933,84468.083,0,0,0,1,0,0,0,0,1,146.2727273,113.5454545,179,0,0,0,0,0,0,11,1249,11,1969,14600,233,7,32,0,0,0,0,0,0,0,0,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:33:22,112642816,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026632857,5.63E+07,7.071067812,5.63E+07,5.63E+07,1.13E+08,5.63E+07,7.071067812,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.026632857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,7.071067812,5.63E+07,5.63E+07,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:36:11,112642712,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026632881,5.63E+07,18.38477631,5.63E+07,5.63E+07,1.13E+08,5.63E+07,18.38477631,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.026632881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,18.38477631,5.63E+07,5.63E+07,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:39:00,112642648,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026632897,5.63E+07,5.656854249,5.63E+07,5.63E+07,1.13E+08,5.63E+07,5.656854249,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.026632897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,5.656854249,5.63E+07,5.63E+07,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:41:49,112642702,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026632884,5.63E+07,65.05382387,5.63E+07,5.63E+07,1.13E+08,5.63E+07,65.05382387,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.026632884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,65.05382387,5.63E+07,5.63E+07,Benign
172.31.69.25-91.185.191.213-22-39614-6,91.185.191.213,39614,172.31.69.25,22,6,20/02/2018 08:45:21,1079159,10,11,1249,1969,736,0,124.9,229.4362414,976,0,179,364.1864907,2981.951686,19.45959771,53957.95,59825.5431,124770,17,1079159,119906.5556,47611.70351,162362,17,954962,95496.2,67044.34139,163141,76,0,0,0,0,328,360,9.266475098,10.19312261,0,976,146.2727273,295.8307402,87515.82684,0,0,0,1,0,0,0,0,1,153.2380952,124.9,179,0,0,0,0,0,0,10,1249,11,1969,65535,233,7,32,0,0,0,0,0,0,0,0,Benign
172.31.69.25-107.180.108.2-22-40157-6,107.180.108.2,40157,172.31.69.25,22,6,20/02/2018 08:45:41,234907,13,11,1252,1969,736,0,96.30769231,206.0385824,976,0,179,364.1864907,13711.80935,102.1680921,10213.34783,13871.41032,51708,6,234907,19575.58333,19543.0304,53471,6,220930,22093,30142.82738,97659,91,0,0,0,0,424,360,55.34104986,46.82704219,0,976,128.84,280.904444,78907.30667,0,0,0,1,0,0,0,0,0,134.2083333,96.30769231,179,0,0,0,0,0,0,13,1252,11,1969,14600,233,7,32,0,0,0,0,0,0,0,0,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:44:38,112642801,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02663286,5.63E+07,58.68986284,5.63E+07,5.63E+07,1.13E+08,5.63E+07,58.68986284,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.02663286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,58.68986284,5.63E+07,5.63E+07,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,20/02/2018 08:47:27,112642760,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02663287,5.63E+07,35.35533906,5.63E+07,5.63E+07,1.13E+08,5.63E+07,35.35533906,5.63E+07,5.63E+07,0,0,0,0,0,0,0,0,0,0,0,0.02663287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,5.63E+07,35.35533906,5.63E+07,5.63E+07,Benign
172.31.69.25-190.214.77.75-22-33480-6,190.214.77.75,33480,172.31.69.25,22,6,20/02/2018 08:52:18,2567078,16,16,1096,2261,272,0,68.5,81.35682721,976,0,141.3125,302.9998281,1307.712504,12.46553474,82808.96774,101865.4179,237893,12,2566215,171081,86602.25935,246303,2068,2567053,171136.8667,91121.78881,290216,12,0,0,0,0,520,520,6.232767372,6.232767372,0,976,101.7272727,218.6251462,47796.95455,0,0,0,1,0,0,0,0,1,104.90625,68.5,141.3125,0,0,0,0,0,0,16,1096,16,2261,5808,227,11,32,0,0,0,0,0,0,0,0,Benign
